name;surname;gender;date_of_birth;place_of_birth;phone_number;size;weight;blood_type;social_number
Angelina;Deschamps;F;2002-10-16 15:19:18;Évry-Courcouronnes;06 80 33 53 32;192;90;AB+;202109122860968
Léon;Cordier;M;1935-08-03 03:01:35;Le Blanc-Mesnil;06 42 30 87 65;199;89;O-;135089300778470
Malo;Dupont;M;1991-02-06 21:14:25;Évry-Courcouronnes;06 38 49 92 12;191;89;B+;191029122896108
Cédric;Laurent;M;1982-10-18 10:56:11;Tours;06 02 13 41 18;159;44;AB-;182103726174854
Alicia;Leveque;F;1981-03-26 06:48:43;Issy-les-Moulineaux;06 94 70 08 69;184;62;A+;281039204010964
Hugo;Aubert;M;1926-12-25 08:31:52;Bordeaux;06 52 92 40 38;174;88;A-;126123306363055
Julie;Dumas;F;1973-06-03 08:11:18;Cherbourg-en-Cotentin;06 82 73 98 36;179;52;O-;273065012950942
Quentin;Gonzalez;M;1981-05-17 21:12:17;Rouen;06 40 29 59 71;146;86;O-;181057654042047
Margot;Bonnet;F;1951-05-07 14:00:08;Tours;06 49 95 09 69;157;101;AB+;251053726123132
Noah;Daniel;M;1978-02-05 02:03:00;Saint-Pierre;06 61 63 02 17;198;64;O-;178029741631372
Fanny;Rousseau;F;1941-05-03 06:30:11;Montpellier;06 33 69 41 61;170;54;B+;241053417229920
Lily;Prevost;F;1996-03-10 22:39:41;Noisy-le-Grand;06 30 07 33 66;144;75;AB+;296039305137649
Antoine;Fleury;M;1945-02-02 01:10:28;Cergy;06 02 87 61 87;201;85;A+;145029512732934
Noah;Klein;M;1969-09-16 01:35:20;Perpignan;06 37 17 65 76;200;76;B-;169096613696512
Robin;Boucher;M;1989-08-01 05:02:58;Villeneuve-d'Ascq;06 48 95 42 99;195;57;O-;189085900929085
Tatiana;Marechal;F;1976-08-27 18:38:35;Créteil;06 02 36 03 11;189;45;B+;276089402850649
Élouan;Pasquier;M;1976-10-12 05:47:21;Perpignan;06 28 62 64 97;143;71;A-;176106613649882
Baptiste;Menard;M;1925-12-28 06:41:36;Avignon;06 34 67 83 63;174;71;AB+;125128400734826
Rémi;Renault;M;1922-05-24 01:57:26;Pau;06 12 36 23 01;178;66;A-;122056444559436
Corentin;Fleury;M;1943-04-25 05:07:11;Le Mans;06 40 51 23 25;143;98;A+;143047218105124
Maryam;Herve;F;1988-10-16 13:28:44;Saint-Pierre;06 83 28 27 86;183;52;O+;288109741655236
Valentin;Paris;M;1955-11-16 20:58:55;Versailles;06 46 86 41 35;203;48;O-;155117864642669
Hugo;Breton;M;1968-11-12 22:23:03;Boulogne-Billancourt;06 57 55 16 71;181;59;O-;168119201201637
Lisa;Gomez;F;1955-12-15 05:17:39;Cannes;06 31 13 04 16;156;86;AB-;255126002913659
Valentine;Fleury;F;1959-09-12 02:09:08;Saint-Paul;06 51 37 45 91;154;84;O+;259099741562920
Guillaume;Robert;M;1956-03-29 14:29:35;Saint-Paul;06 05 41 31 41;156;103;AB-;156039741550322
Lorenzo;Philippe;M;1946-08-12 04:55:02;Calais;06 38 15 27 48;182;88;O-;146086219379518
Enzo;Dumas;M;1996-03-09 04:19:48;Montpellier;06 21 45 33 45;141;84;AB+;196033417229616
Mathieu;Barre;M;1956-07-12 06:18:39;Caen;06 98 26 27 28;140;55;O+;156071411883936
Juliette;Guerin;F;1950-07-27 12:23:24;Cayenne;06 98 11 25 91;155;57;O+;250079730217079
Ambre;Barre;F;1957-01-06 02:13:40;Rennes;06 27 89 75 10;183;41;O+;257013523838912
Syrine;Roger;F;2000-04-04 00:45:07;Clichy;06 49 13 71 12;157;40;O+;200049202489718
Julien;Andre;M;1969-12-18 23:46:51;Issy-les-Moulineaux;06 24 29 11 17;154;74;B-;169129204029566
Jeanne;Andre;F;1973-11-08 04:35:18;Saint-Denis;06 29 29 51 00;188;57;A+;273119741181058
Anthony;Cousin;M;1961-07-31 10:29:45;Le Havre;06 48 60 93 58;145;41;O-;161077635139618
Benjamin;Dupuy;M;1968-04-20 14:39:34;Fort-de-France;06 53 72 43 19;168;47;B+;168049720950596
Maïlé;Martinez;F;1971-12-25 08:16:37;Noisy-le-Grand;06 78 60 44 38;198;41;O-;271129305102005
Léonie;Fleury;F;2000-09-01 14:11:30;Argenteuil;06 88 01 48 71;164;45;AB-;200099501807559
Françoise;Lemoine;F;1970-11-23 03:49:36;Courbevoie;06 73 60 30 65;203;97;O+;270119202673849
Colin;Guillaume;M;1954-08-07 06:42:40;Nîmes;06 36 76 45 55;163;98;B-;154083018992445
Erwan;Pierre;M;1924-03-06 04:07:11;Clermont-Ferrand;06 28 92 17 40;167;84;AB+;124036311351924
Arthur;Blanchard;M;1949-07-09 11:12:43;La Seyne-sur-Mer;06 12 52 53 81;160;71;O+;149078312662521
Aaron;Laine;M;1999-10-30 11:09:14;Noisy-le-Grand;06 72 14 97 82;186;98;A+;199109305134848
Inès;Jacquet;F;1965-10-25 16:30:01;Avignon;06 98 94 98 01;172;100;B-;265108400771374
Jade;Garcia;F;1945-05-16 03:03:56;Avignon;06 35 08 05 55;147;58;A-;245058400744396
Léon;Huet;M;1931-01-04 12:35:54;Courbevoie;06 87 31 49 83;178;100;O-;131019202692792
Lilou;Boulanger;F;1937-02-11 00:56:39;Pessac;06 51 96 06 54;175;50;O-;237023331818082
Éloïse;Bertrand;F;1923-01-23 21:40:59;Limoges;06 92 44 94 93;182;97;A-;223018708589664
Juliette;Roussel;F;2002-04-13 07:30:22;Clichy;06 79 85 28 57;200;92;B-;202049202433384
Clotilde;Leclerc;F;1939-10-07 22:47:58;Saint-Denis;06 66 85 59 58;148;64;AB+;239109741149070
Florian;Perez;M;2003-02-11 19:06:24;Bordeaux;06 82 70 59 21;176;67;O-;103023306391836
Clément;Guillot;M;1943-03-21 22:41:10;Vitry-sur-Seine;06 47 84 46 33;184;43;AB+;143039408115385
Chaïma;Philippe;F;1923-03-24 05:15:38;Tourcoing;06 36 98 82 84;200;51;B-;223035959980104
Corentin;Hubert;M;1977-03-15 21:33:43;Niort;06 75 50 48 32;150;61;AB+;177037919199025
Aaron;Brunet;M;1921-11-08 16:26:40;Lille;06 28 90 16 35;197;83;AB-;121115935086536
Florentin;Hubert;M;1933-08-07 03:28:53;Reims;06 05 00 92 78;171;57;AB+;133085145406353
Dimitri;Paul;M;1923-09-29 16:54:09;Dunkerque;06 51 63 00 47;144;100;O-;123095918314057
Nathan;Meyer;M;1931-05-24 17:04:32;Aubervilliers;06 39 45 75 31;170;101;A-;131059300126315
Léonie;Garnier;F;1993-05-20 04:43:40;Nancy;06 97 21 43 21;148;90;O+;293055439582357
Colin;Gomez;M;1970-05-06 23:02:46;Cayenne;06 91 69 81 86;184;51;O+;170059730201627
Tom;Durand;M;1965-02-11 12:10:48;Cayenne;06 07 31 96 11;186;89;AB-;165029730237979
Carla;Joly;F;1951-07-18 17:23:56;Grenoble;06 51 70 81 61;145;61;O-;251073818509436
Clotilde;Carpentier;F;1970-12-27 00:38:42;Montreuil;06 93 53 45 97;160;102;AB+;270129304847617
Alexandra;Fontaine;F;1959-06-25 20:16:09;Colombes;06 34 86 64 90;174;71;O+;259069202535371
Marine;Herve;F;1946-07-14 07:05:00;Nîmes;06 61 75 19 28;185;76;AB+;246073018952221
Élouan;Pons;M;1947-08-30 12:02:36;Pantin;06 93 63 63 39;145;103;A+;147089305557934
Kimberley;Gauthier;F;1940-04-11 16:21:37;Montpellier;06 59 47 74 85;187;97;AB+;240043417225151
Inès;Leclercq;F;1942-04-07 22:48:33;Clichy;06 69 15 29 49;152;73;B+;242049202467307
Mathilde;Poulain;F;1996-11-24 01:43:37;Saint-Paul;06 24 46 92 24;141;67;A-;296119741580707
Thomas;Louis;M;1934-12-20 08:02:22;Montauban;06 71 13 37 37;197;82;O+;134128212153397
Alice;Roche;F;2001-11-07 00:58:52;La Rochelle;06 72 89 66 27;189;42;A+;201111730042646
Florentin;Dumas;M;1933-07-09 06:57:35;Issy-les-Moulineaux;06 22 83 82 32;140;80;B-;133079204019677
Sara;Leroy;F;1943-06-11 02:44:37;Antony;06 08 83 70 51;191;90;B+;243069200259422
Syrine;Olivier;F;1934-12-24 15:20:22;Vénissieux;06 65 95 63 17;149;55;AB-;234126925934085
Valentine;Dupont;F;1972-12-25 23:38:30;Reims;06 89 45 73 64;193;79;A-;272125145405220
Julia;Michel;F;2002-06-11 22:33:10;Clichy;06 02 58 29 01;187;95;AB+;202069202420973
Élouan;Dumas;M;1953-11-22 10:16:51;Calais;06 76 61 49 42;151;99;AB+;153116219341874
Émile;Henry;M;1954-03-30 02:52:00;Le Blanc-Mesnil;06 75 29 52 40;178;88;B+;154039300760209
Gaspard;Daniel;M;1948-12-19 19:48:16;Versailles;06 20 56 95 76;150;90;AB+;148127864668043
Florentin;Gonzalez;M;1983-08-31 14:38:21;Le Mans;06 61 16 73 67;140;82;A+;183087218101522
Lina;Lefebvre;F;1922-05-02 08:53:17;Le Blanc-Mesnil;06 23 89 40 34;174;62;A-;222059300762877
